vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,600,cnn,7,408.9295897000011,218.55570959999932,0.9927770859277708,0.9927865348650815,0.9917267147050974,0.9922563417890521
Pt-BR_Word2Vec,600,cnn,8,409.1207105000012,212.35770989999946,0.9927148194271482,0.9942382419938363,0.9901254336802775,0.9921775757170556
Pt-BR_Word2Vec,600,cnn,9,405.46786130000146,218.1651099999999,0.9926525529265255,0.9935760171306209,0.9906591940218842,0.9921154617132166
Pt-BR_Word2Vec,1000,cnn,0,730.8850460000012,330.38069840000026,0.9926525529265255,0.9925213675213675,0.9917267147050974,0.9921238819917235
Pt-BR_Word2Vec,1000,cnn,1,687.6735554000006,332.4362871000012,0.9928393524283935,0.9916055962691539,0.9930611155591139,0.9923328221881459
Pt-BR_Word2Vec,1000,cnn,2,692.1440105999991,331.01599989999886,0.9925902864259029,0.9922573755172874,0.991860154790499,0.9920587253920587
Pt-BR_Word2Vec,1000,cnn,3,669.2286361999995,331.0221653999997,0.9925902864259029,0.992388836960876,0.9917267147050974,0.9920576653540679
Pt-BR_Word2Vec,1000,cnn,4,687.4026067000013,329.9341000000004,0.9925902864259029,0.992388836960876,0.9917267147050974,0.9920576653540679
Pt-BR_Word2Vec,1000,cnn,5,695.5836777000004,332.8626618999988,0.9928393524283935,0.9930509154082587,0.9915932746196957,0.9923215597249114
Pt-BR_Word2Vec,1000,cnn,6,690.6666937000009,329.2731606999987,0.9924034869240349,0.9944995975315267,0.989191353082466,0.9918383730264919
Pt-BR_Word2Vec,1000,cnn,7,686.7607886000005,333.24226629999976,0.9928393524283935,0.9930509154082587,0.9915932746196957,0.9923215597249114
Pt-BR_Word2Vec,1000,cnn,8,684.9519932999974,333.63942210000096,0.9924034869240349,0.9919914575547251,0.9917267147050974,0.9918590684638997
Pt-BR_Word2Vec,1000,cnn,9,685.680360600003,333.13918040000135,0.9927148194271482,0.9921280853902602,0.992260475046704,0.992194275802255
Pt-BR_Word2Vec,50,lstm,0,43.423516500002734,139.49745910000274,0.990909090909091,0.9917023554603854,0.988791032826261,0.9902445543231324
Pt-BR_Word2Vec,50,lstm,1,44.45731479999813,140.00878080000257,0.9909713574097135,0.9888253292536916,0.991860154790499,0.9903404170275131
Pt-BR_Word2Vec,50,lstm,2,44.54744130000108,147.55274529999951,0.9902241594022416,0.989329064959317,0.9897251134240725,0.9895270495630712
Pt-BR_Word2Vec,50,lstm,3,43.658990700001596,146.20859349999955,0.990909090909091,0.9894750865973888,0.9910595142780891,0.9902666666666667
Pt-BR_Word2Vec,50,lstm,4,44.37733120000121,140.64339610000025,0.9909713574097135,0.9889554224883567,0.9917267147050974,0.99033912985542
Pt-BR_Word2Vec,50,lstm,5,45.11096329999782,144.29301960000157,0.9898505603985056,0.9893205179548792,0.9889244729116626,0.9891224557891225
